execucao,num_dados,operacao,abordagem,tempo_gasto,rotacoes,altura
4,100000,busca,AVL,0.230532407761,,
4,100000,exclusão,Red Black,0.396867513657,42321.0,
4,100000,pesquisa,AVL,0.970092535019,40055.0,
5,100000,insercao,Red Black,0.404669046402,58121.0,21.0
5,100000,insercao,AVL,1.159279823303,69672.0,20.0
5,100000,busca,Red Black,0.297790765762,,
5,100000,busca,AVL,0.244268178940,,
5,100000,exclusão,Red Black,0.388077974319,42320.0,
5,100000,pesquisa,AVL,0.996355533600,39664.0,
6,100000,insercao,Red Black,0.410922288895,58511.0,21.0
6,100000,insercao,AVL,1.258205175400,70552.0,20.0
6,100000,busca,Red Black,0.308380126953,,
6,100000,busca,AVL,0.229179143906,,
6,100000,exclusão,Red Black,0.404972314835,42618.0,
6,100000,pesquisa,AVL,0.973153829575,39816.0,
7,100000,insercao,Red Black,0.449555158615,57832.0,21.0
7,100000,insercao,AVL,1.193042039871,69591.0,20.0
7,100000,busca,Red Black,0.344777822495,,
7,100000,busca,AVL,0.233529329300,,
7,100000,exclusão,Red Black,0.416595935822,42184.0,
7,100000,pesquisa,AVL,0.978741168976,39881.0,
8,100000,insercao,Red Black,0.442441225052,58124.0,22.0
8,100000,insercao,AVL,1.191125154495,69926.0,20.0
8,100000,busca,Red Black,0.319226980209,,
8,100000,busca,AVL,0.215723037720,,
8,100000,exclusão,Red Black,0.397800207138,42449.0,
8,100000,pesquisa,AVL,0.975476264954,39816.0,
9,100000,insercao,Red Black,0.436976194382,58185.0,21.0
9,100000,insercao,AVL,1.159025669098,69824.0,20.0
9,100000,busca,Red Black,0.315375328064,,
9,100000,busca,AVL,0.219680070877,,
9,100000,exclusão,Red Black,0.399877309799,42487.0,
9,100000,pesquisa,AVL,0.976087570190,40088.0,
10,100000,insercao,Red Black,0.417062520981,58125.0,22.0
10,100000,insercao,AVL,1.153894186020,69518.0,20.0
10,100000,busca,Red Black,0.316040515900,,
10,100000,busca,AVL,0.228517532349,,
10,100000,exclusão,Red Black,0.422843456268,42313.0,
10,100000,pesquisa,AVL,0.988166570663,40065.0,
1,1000000,insercao,Red Black,9.655737876892,582808.0,25.0
1,1000000,insercao,AVL,18.648594856262,698971.0,24.0
1,1000000,busca,Red Black,4.980288743973,,
1,1000000,busca,AVL,3.498625040054,,
1,1000000,exclusão,Red Black,6.461714029312,421037.0,
1,1000000,pesquisa,AVL,13.666269063950,399823.0,
2,1000000,insercao,Red Black,9.058223962784,583049.0,25.0
2,1000000,insercao,AVL,18.455724716187,698858.0,24.0
2,1000000,busca,Red Black,4.976480007172,,
2,1000000,busca,AVL,3.479438304901,,
2,1000000,exclusão,Red Black,6.461657524109,422451.0,
2,1000000,pesquisa,AVL,13.665455579758,399086.0,
3,1000000,insercao,Red Black,9.244725942612,582443.0,25.0
3,1000000,insercao,AVL,18.591863870621,697528.0,24.0
3,1000000,busca,Red Black,4.947309732437,,
3,1000000,busca,AVL,3.490413665771,,
3,1000000,exclusão,Red Black,6.463884830475,422947.0,
